"","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"50528",3.67749497273692,3.18479192066689,2.99563071695769,2.18493992600657,1.87458755675331,1.53010758571812,9.16959435351585,8.96119441205153,6.72116193912242,6.68633395394489,5.67299877867849,5.54146886119194
"72388",6.66866353181146,6.90011781636566,6.82589103727206,6.58295599086196,6.57571940876251,6.4421649350805,7.62243246662091,7.6167343193162,7.1375848527116,6.92105774017503,5.59786625265773,5.50970974167947
"114604",4.04429795813028,3.7795783450678,3.61484629337028,3.34376031389095,3.46051720336472,3.82612840548568,4.33295416004502,4.23971309851711,4.72236242819138,4.37762962810514,3.3735708796115,3.41083456010382
"207781",4.46584371003846,4.55850728696607,4.69066061372321,4.57767618442701,4.63273872446651,4.78281803048662,5.36108966466569,5.22212164627483,5.02300482397284,4.68370942721849,3.91623884824583,4.13852656509515
"114565",5.72029898969404,5.80726821966148,5.79340833114264,5.60013745803335,5.35512548744547,5.35304990695178,6.27431078718833,6.33601478078745,5.90454566487088,5.64493771141486,4.13796513000663,3.82422041124588
"320586",0.373173482557291,0.553262527755639,0.416285373789122,0.199785924830588,0.152439791646446,0.122769585024361,0.687058750362455,0.141590402469774,-0.891740264399963,-1.14190394974317,0.336160811200674,0.593541941531992
"328734",1.73096056509946,0.875709244043247,1.24622171566585,0.856454501035483,0.891319284088435,1.19429104390443,2.82870283498698,2.89080359984033,2.35787578052474,2.43605379257297,1.48523521133864,1.70184121914581
"624086",1.69302863623387,1.89468062978415,1.47885591965649,1.74647572211182,1.96321061003132,1.60312724019067,2.77801240087406,2.30106589278671,1.81029635097804,1.6494241097464,1.30801109887936,1.50971005461631
"106583",6.41925473482027,6.28031866170234,6.19593425136092,5.98800297891594,5.93630503996225,5.99237785340978,6.8372160162492,6.81957417824084,6.41695607999277,6.38716014199801,4.84247146162696,5.01510852474528
"319358",2.57210291571106,2.8499467470345,2.55062665085303,2.48706620264911,3.01454241161484,2.67505186508672,2.91568559754426,2.91744915759663,2.19738775113567,2.34856194195737,1.33139176335413,1.96427582786577
"24001",6.94365285546906,6.83717100240176,6.2218397496831,6.03245723509139,6.71941171020856,7.10362349706104,6.37836125959615,6.41838840056627,4.31629609178142,4.41809956176462,3.18109148146181,3.47539544175015
"224481",2.37058184031665,2.04678607043963,1.78718511648065,1.60711477376359,1.27049281947625,1.02745672660166,2.26263907252939,1.9343901616768,1.69479495132858,2.24160880183687,1.78529322623398,1.71971870627781
"239985",7.01168288962406,7.11568137233193,6.82905467010244,6.87481300412487,6.83899734300161,6.95521510703353,7.18675403240324,7.21640627604255,6.60732289046281,6.47314806125438,5.20245982914183,5.26687891039321
"70544",4.52101282422917,4.68756305094767,4.86517744555147,5.06232424843762,5.1438594206916,5.21621405261856,5.15803080428499,5.02180611989859,5.00088593441173,4.88368968745594,4.67666144016679,4.67139076546578
"666919",0.221553940468553,0.553262527755639,0.503352426414242,0.0230663221106922,-0.18585572532392,-0.253382506334422,1.2301099606244,1.17329256210533,0.478650418529895,0.240014579813343,-0.290879596068706,-0.360653778313098
"224454",2.82977762409428,2.50938181993773,3.66291655489729,3.79285431320732,4.26894880830654,3.8210356761418,4.23863131111279,4.13764541753966,0.846546525555211,1.37362109540623,0.510158838725485,0.472235700565239
"66616",5.270297117497,5.28877174016649,5.17797449571491,5.10919822319283,5.20146928862761,5.24691960764877,5.56470935683497,5.60885706428213,5.02499891733777,4.8680435788842,4.70602656884877,4.54423050169013
"20975",5.41858078504186,5.14070839748414,4.63149152283297,4.52056156902831,5.06995070322955,5.23164851868254,5.64892999004834,5.56739493049777,4.35168292825753,4.34247619280757,2.96640646298499,3.02879720678276
"321007",2.97909338342604,2.67419871187382,2.85372815097955,2.44090409986982,3.00622333693038,2.8148264446256,3.77378030712923,3.68424919181459,2.8288218015823,2.78926430755056,1.62424273550063,1.99396195344946
"66467",4.98063734811416,4.88888067452091,5.16467996934158,5.23963692407026,5.15142350177466,5.08428318221284,5.72716862363018,5.63985681635281,5.11761201098302,5.0010532851763,4.27087887418095,4.21614429495793
"68842",5.49772425901131,5.44450962900129,5.23632882582895,5.21584697364286,5.53648350297565,5.5100218846866,5.6261834742554,5.66366122894857,5.23768431506745,5.0885207402657,4.41736738953195,4.30468096651549
"77106",1.5087926374247,1.53181808978401,1.8044321411295,2.19887617185458,1.99718967979696,1.99552642205348,2.70391357861815,2.55973969823329,2.40763554569113,2.48376562867743,1.73358187980717,2.09330171254916
"100310872",-1.71506288590866,-0.992265736617722,-1.11149646054552,-1.03956954669025,-1.11731332381388,-3.48617522965634,1.42720160050713,0.727830349714199,0.984101499985454,0.183345976769026,0.628136830230561,0.141846203259341
"21648",1.48679050525175,1.84019347951667,1.73417132104314,1.99033673652442,2.33939049235085,1.57919565849425,3.80955324092949,3.88660041456374,3.44395400982686,3.28290904671036,2.80875544786675,2.58771239093375
"547127",2.48599254411528,2.2132447703488,2.74180181262845,2.70779963239151,2.93788521035381,2.9042256422205,3.43076766943798,3.41804222059103,3.19040872316385,3.51302365485367,2.67807083370773,2.83738084242216
"100040500",2.15033447523596,2.1988812701666,1.76972941113299,1.94143922297264,2.58259643701484,2.31822991940527,2.50632415249097,2.40514865708315,2.1248638134113,1.58525737782563,1.37704616590151,1.42507026128811
"100040563",0.0521082348707502,0.253103604832703,0.224601044985992,0.406075110358413,0.613176616290375,0.917233190033871,2.27731279697777,2.59317912715012,1.75370121519209,1.730768083451,1.21050443602241,1.02592652125026
"100040525",0.635632370095028,0.307669658631004,1.19482902931103,1.14262022065181,1.59286202046488,1.2858526197362,1.83683982496569,2.58211854711159,1.54720390711241,1.69066932635082,1.05065074737004,1.10966537647811
"100040531",2.33407813481721,2.06273773616569,2.477244533709,2.76512450188213,2.49017368205364,2.61746793848173,4.35387229010835,4.22556671056661,3.60191606770615,3.61831118045471,3.10173203252094,2.82091154362746
"83672",-0.53069940287773,-0.750093349557328,-0.987582999156126,-0.412549118715051,-1.44213047176618,-1.18739925229193,1.79666142804628,2.20339502078989,0.568892491302787,1.44767014323886,2.18241623528601,2.26139701893628
"22350",9.44404323641226,9.54311268316518,9.3895165564692,9.41494761316142,8.65539095740329,8.37112921333148,10.5427968609463,10.6516003147301,9.42868812092408,10.0479433141052,7.76424648773741,7.5283418713559
"100040654",-2.51144911667672,-2.88706657991196,-3.48617522965634,-3.48617522965634,-2.45666316121395,-1.56006699571847,-0.560812867516674,-0.196453894824275,-2.48048429088319,-1.65885455099636,-3.48617522965634,-2.94561017678329
"73617",1.2460724640417,1.96426972733482,1.11413527503802,1.19917948659367,1.09332730682208,1.31512580588306,1.95106818105082,1.88123732911718,2.33233714315329,2.21358401163285,0.838579951562311,0.705434774594575
"100037282",2.38254733603821,1.87674592787505,1.96643011107371,2.26660686344046,2.41675107833535,2.46909684741814,2.42957995893044,2.40514865708315,2.01678591916961,1.89857858731968,0.628136830230561,0.554229034908031
"380608",2.40618466069458,2.15491228533855,2.69633017050163,2.18493992600657,1.57046664225598,1.42661740858984,4.13770759290623,3.92212165444465,3.68497649660301,3.47221112652707,3.08119081004108,3.11237433318116
"68195",2.20526327908737,2.2554966801067,1.87142950177672,1.97422100960986,1.61491505616385,1.60312724019067,3.13295177407357,3.09134215793026,3.44990366100465,3.3616347250964,2.53435843058224,2.26139701893628
"20112",3.94289737842508,3.38838038377072,4.16158795576996,3.87760619796156,5.11513557099805,5.14667652278044,2.1070576419158,2.39254161618408,1.25267770078791,1.34806869347991,0.425781392697903,0.631811941969883
"68655",2.06380909412603,2.47403217439149,0.873881056436529,0.746890736168776,0.854719843521033,0.838775681088136,0.687058750362455,1.58141208247905,-0.0164130894059023,-2.14745738936191,-0.701023320534446,0.0316633538816386
"72536",2.38254733603821,2.30997398347658,2.58096837603038,1.89082610007155,1.76051208538498,1.67262848765749,4.23487741017444,3.96532757388733,3.53632382751342,3.47221112652707,2.98126396484379,3.09877673082125
"66832",5.09231402969812,5.07734149290066,4.96633541671321,5.08313666215568,5.54368676011875,5.46175517358294,5.29772767516499,5.49552815793505,5.08166028872801,5.03547896515675,3.91623884824583,3.92397640637406
"100037283",6.02227221848287,6.15849935966492,5.97573885683206,5.99600673402737,5.57355373786364,5.65873238196874,7.16719056636014,7.22532025801671,7.38897731911326,7.34420100696452,6.43189428959508,6.36087147680594
"75296",4.2991038451315,4.06342079739172,4.25236363778601,3.97800172498351,3.73172811101377,3.76909449455037,4.82756342466001,4.66095201834287,4.9387790343385,4.92963497157531,4.08736344207482,4.01366006507955
"55951",4.51287075333508,4.15182944186113,4.63872128105989,4.59358778363872,4.88496014980827,4.67968292461989,4.79988227444972,4.82709440381467,5.96811152595671,5.98356710895978,6.81442410172604,6.81728355871594
"106489",3.4966455391447,3.45637390524897,3.65818096744396,3.28617840889322,2.81943111411977,2.66371748603821,3.81961324637184,4.06004920119763,3.76351409144048,3.79890748835342,3.0949174031896,2.91701998391825
"320111",0.510363115697959,0.13736024496221,-0.0575225753466646,0.084409755671182,-0.736140007617748,-0.89150345270652,-0.194052210378292,-0.122211014571167,-0.154019553063406,0.240014579813343,-0.441249586081024,-0.437821571777716
"23984",-1.06833451209956,0.196392334217342,0.00348862806396423,0.784344161719218,0.778611918993304,0.797886638143358,-2.416170124349,-2.13608740778145,-2.48048429088319,-1.29452303742659,-2.94682779076513,-2.55329449750217
"66931",-1.71506288590866,-0.750093349557328,-1.9698903275951,-1.32844010076528,-1.44213047176618,-1.18739925229193,1.16847211270029,1.23108160133334,-1.4776472177213,-1.00389662626412,-0.799163816319045,-0.360653778313098
"433064",1.2720340080856,1.33570641893405,1.05771763427358,0.820849821578786,0.854719843521033,1.16243200149038,1.85651706154251,1.62517564661293,0.950922670939502,0.446749003313673,0.0842342785628173,0.292788015754977
"19317",7.81406152013231,7.99046703512939,8.14449515059449,7.98974116107225,7.67584691691653,7.58615858783485,7.12724932063325,7.04121494276555,6.8134645810998,6.69522789270893,5.08184937973566,5.05085601792007
"100526796",-1.20490064694113,-0.866104082141486,-1.24706146999093,-0.692259855550942,-1.27059972664441,-0.763583903340525,-1.20877279779355,-0.746180218133587,-1.89362978828622,-1.88256946073601,-2.55515032189203,-1.58806263722435
"69310",1.34722798476692,0.507375172066758,-1.56367204222967,-0.178361957803391,0.613176616290375,0.420853197382844,0.0981148143755548,-0.746180218133587,-2.15742069714772,-2.89186098027388,-2.24742198546059,-2.94561017678329
"50873",0.822908334771635,0.723475675214389,1.32003305603155,1.33157657411742,1.89275304341461,1.45319421090929,1.03668502535269,1.68842823109724,0.694480545453424,0.825685841154336,-0.0911652181573346,-0.360653778313098
"68262",3.96295898549649,4.22453519095632,4.19139334906543,4.52056156902831,5.31359046784989,5.00116894149132,0.448598872900711,1.11309176521475,1.33213504868527,1.0951136747589,3.7784283458087,3.48064734036249
"26407",6.00302409062081,5.92865635349697,5.37554271200204,5.42000654250127,5.51465539275066,5.52888531904856,5.65876991641316,5.58273642000986,4.76593821426507,4.65534259541311,3.7784283458087,4.09809341936106
"224523",-0.722421952488041,-0.750093349557328,-0.577002779426999,-0.692259855550942,-0.852356091739677,-1.79007931792599,0.548759818086149,0.364530439398662,-1.01744281915695,-1.46521840171455,-1.99393232975458,-1.01487824121175
"20519",0.924615589537612,1.0134013111794,-0.577002779426999,-1.17678680733237,-2.45666316121395,-1.18739925229193,1.52880765549091,0.950587548110093,2.99266197955486,1.76978239555614,-3.48617522965634,-3.48617522965635
"20517",-2.91801269592391,-1.87305779322165,-2.93514290350881,-2.4939997431947,-1.44213047176618,-2.06384965417232,-2.08063959886808,-3.48617522965634,-2.8974162765354,-2.14745738936191,0.425781392697903,-0.0267532939193445
"16004",6.62211237423522,6.59198793424007,5.84015142912179,5.98197088768133,6.73962563370668,6.73937258852239,7.10119721968485,7.11117304700257,6.69760199091986,7.05540881207101,6.72291113438319,6.87774974864117
"104103",1.13728594290375,1.30920628407225,1.41291770439709,1.1711770038204,2.2715953319534,2.08321736611704,1.55312914804245,1.64656945973303,0.653820592836367,0.825685841154336,0.58987287488825,1.18880923768551
"240023",0.822908334771635,1.13908929393142,0.873881056436529,0.143250900512553,0.817167697689377,1.12985349790782,-1.80860763767339,-1.64535858583767,-2.48048429088319,-2.47217024111218,-1.77839645692121,-1.99141740963577
"67681",4.16351559481353,4.00269959970834,4.1379726332431,3.9739551401878,3.92946006989775,4.11537107651051,4.20832299778316,4.08768513026908,4.09117861489174,3.58588505432554,3.87705470025999,3.99543016644793
"21454",7.87647328603937,7.82759182460055,7.86182199070423,7.71063610906044,7.48623893395026,7.29621709467291,8.16378416107983,8.01242425081833,7.94487704527422,7.72934962936418,6.74429936162112,6.77622934664296
"224530",3.6480584006254,3.63236250199589,3.46563747495244,3.3056288594968,3.61074073263738,3.34128208996535,3.33582779586724,3.26045528729811,3.42595640666973,3.1487472292821,5.02383182653922,4.98954758003535
"110460",4.36088942219676,4.25955866214307,4.18482293895913,3.96582776004616,4.47590000800101,4.26538192113674,3.99408737679835,4.04401625829092,4.2186165823079,4.00914966542393,5.81245538998614,5.68487718049518
"100502686",1.90696267668256,1.76418717091664,2.23163390296208,2.05305757594786,2.11018406414444,1.73893486301268,3.00655451077254,2.84527066342464,2.51369077542403,2.84513134037395,2.00476564686047,2.13386750090777
"60532",5.3847742934968,5.29722397355693,5.2739603502165,4.9096903982656,4.69617333071006,4.9153635544422,5.52836823860032,5.65576998573406,5.32119844049161,5.11148305430812,4.0561279933291,4.05297298752248
"20656",6.52357086459397,6.58923724793535,7.32360953063888,7.11561058331646,6.38917741954804,6.12846126453558,6.82290911997981,6.8201626883356,7.17128586795891,6.97056362427818,6.47583346015531,6.44656574872275
"72578",-0.53069940287773,-0.866104082141486,-2.5373745069946,-1.4979279714277,-1.86199595333055,-2.06384965417232,2.34852285708544,2.01884521957193,0.431320358081924,0.897904755649067,-2.55515032189203,-1.99141740963577
"21646",-0.828769739731501,-0.54278925799116,-2.22590797442769,-1.17678680733237,-1.44213047176618,-1.56006699571847,0.0981148143755548,0.141590402469774,-0.0835763033519997,0.0628593818062626,-0.799163816319045,-0.901221604924646
"17356",6.65639601826469,6.66825585983305,6.17619521951619,6.08029564031988,6.17023589233204,6.13360535444081,8.42410876402538,8.04853205597469,7.32769431702789,7.78337398625596,6.00740851546403,6.07865647711602
